CODE,CAT,
01,Animal & Animal Products,
02,Animal & Animal Products,
03,Animal & Animal Products,
04,Animal & Animal Products,
05,Animal & Animal Products,
06,Vegetable Products,
07,Vegetable Products,
08,Vegetable Products,
09,Vegetable Products,
10,Vegetable Products,
11,Vegetable Products,
12,Vegetable Products,
13,Vegetable Products,
14,Vegetable Products,
15,Vegetable Products,
16,Foodstuffs,
17,Foodstuffs,
18,Foodstuffs,
19,Foodstuffs,
20,Foodstuffs,
21,Foodstuffs,
22,Foodstuffs,
23,Foodstuffs,
24,Foodstuffs,
25,Mineral Products,
26,Mineral Products,
27,Mineral Products,
28,Chemicals & Allied Industries,
29,Chemicals & Allied Industries,
30,Chemicals & Allied Industries,
31,Chemicals & Allied Industries,
32,Chemicals & Allied Industries,
33,Chemicals & Allied Industries,
34,Chemicals & Allied Industries,
35,Chemicals & Allied Industries,
36,Chemicals & Allied Industries,
37,Chemicals & Allied Industries,
38,Chemicals & Allied Industries,
39,Plastic & Rubbers,
40,Plastic & Rubbers,
41,"Raw Hides, Skins, Leather, & Furs",
42,"Raw Hides, Skins, Leather, & Furs",
43,"Raw Hides, Skins, Leather, & Furs",
44,Wood & Wood Products,
45,Wood & Wood Products,
46,Wood & Wood Products,
47,Wood & Wood Products,
48,Wood & Wood Products,
49,Wood & Wood Products,
50,Textiles,
51,Textiles,
52,Textiles,
53,Textiles,
54,Textiles,
55,Textiles,
56,Textiles,
57,Textiles,
58,Textiles,
59,Textiles,
60,Textiles,
61,Textiles,
62,Textiles,
63,Textiles,
64,Footwear / Headgear,
65,Footwear / Headgear,
66,Footwear / Headgear,
67,Footwear / Headgear,
68,Stone / Glass,
69,Stone / Glass,
70,Stone / Glass,
71,Stone / Glass,
72,Metals,
73,Metals,
74,Metals,
75,Metals,
76,Metals,
77,Metals,
78,Metals,
79,Metals,
80,Metals,
81,Metals,
82,Metals,
83,Metals,
84,Mechinery / Electrical,
85,Mechinery / Electrical,
86,Transportation,
87,Transportation,
88,Transportation,
89,Transportation,
90,Miscellaneous,
91,Miscellaneous,
92,Miscellaneous,
93,Miscellaneous,
94,Miscellaneous,
95,Miscellaneous,
96,Miscellaneous,
97,Miscellaneous,
98,Miscellaneous,
99,Miscellaneous,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
